Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771870212614,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,13.51351261138916,5.405405521392822,10.810811042785645,7.894736289978027,7.894736289978027,7.894736289978027,8.108107566833496,5.555555820465088,5.405405521392822,13.51351261138916,15.384615898132324,7.894736289978027,10.810811042785645,10.526315689086914,16.216215133666992,8.108107566833496,0,182553.6678466797,54885.801696777344,1426.5343627929688,33048657920,8589930496,7034236928,0
199,1771870212614,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,13.51351261138916,5.405405521392822,10.810811042785645,7.894736289978027,7.894736289978027,7.894736289978027,8.108107566833496,5.555555820465088,5.405405521392822,13.51351261138916,15.384615898132324,7.894736289978027,10.810811042785645,10.526315689086914,16.216215133666992,8.108107566833496,0,182553.67578125,54885.80255126953,1426.5343627929688,33048657920,8589930496,7034236928,0
199,1771870212814,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,0,0,0,0,30.000001907348633,0,4.545454502105713,9.090909004211426,23.809524536132813,0,0,0,0,0,0,42.85714340209961,0,182555.05145263672,54885.96252441406,1426.5343627929688,33048657920,8589930496,7060230144,0
199,1771870213014,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,0,0,0,0,95.23809814453125,4.761904716491699,0,0,0,0,0,0,10,5,5,0,0,182556.43475341797,54886.119140625,1426.5343627929688,33048657920,8589930496,7090393088,0
199,1771870213214,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,0,10,0,0,94.73684692382813,15.000000953674316,0,0,5,0,0,0,15.000000953674316,15.000000953674316,10,4.761904716491699,0,182557.93420410156,54886.38006591797,1426.5348510742188,33048657920,8589930496,7121862656,0
199,1771870213414,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,0,19.047618865966797,36.842105865478516,21.052631378173828,25,5,0,0,0,0,0,4.761904716491699,5,0,0,47.619049072265625,0,182559.37280273438,54886.57971191406,1426.5348510742188,33048657920,8589930496,7209242624,0
199,1771870213615,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,9.523809432983398,9.523809432983398,14.285715103149414,10,14.285715103149414,26.3157901763916,11.111111640930176,10,5,5.263157844543457,78.94737243652344,10.526315689086914,10,35,23.809524536132813,0,0,182561.1329345703,54887.049072265625,1426.5348510742188,33048657920,8589930496,7242293248,0
199,1771870213815,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,0,0,0,15.000000953674316,5,70,9.523809432983398,0,4.761904716491699,0,30.000001907348633,0,14.285715103149414,35,10.526315689086914,19.047618865966797,0,182562.7109375,54887.36193847656,1426.5350341796875,33048657920,8589930496,7259721728,0
199,1771870214015,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,19.047618865966797,19.047618865966797,30.000001907348633,45,0,35,0,5,5.263157844543457,10,5,10,10.526315689086914,5,5,9.523809432983398,0,182564.25030517578,54887.63037109375,1426.54052734375,33048657920,8589930496,7266566144,0
199,1771870214215,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,5,31.57894515991211,5.263157844543457,5.263157844543457,5,10,42.85714340209961,9.523809432983398,5,5,5,42.85714340209961,0,5.263157844543457,0,0,0,182565.78649902344,54887.92608642578,1426.54052734375,33048657920,8589930496,7285661696,0
199,1771870214415,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,15.000000953674316,15.789472579956055,15.000000953674316,20,45,80,15.000000953674316,21.052631378173828,35,15.000000953674316,15.000000953674316,5.263157844543457,36.842105865478516,20,25,15.789472579956055,0,182567.56567382813,54888.37854003906,1426.5968627929688,33048657920,8589930496,7320055808,0
199,1771870214615,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,21.052631378173828,40,36.842105865478516,38.095237731933594,16.666667938232422,31.57894515991211,31.57894515991211,30.000001907348633,26.3157901763916,47.36842346191406,26.3157901763916,21.052631378173828,33.333335876464844,21.052631378173828,45,35,0,182569.57958984375,54888.999755859375,1426.6800537109375,33048657920,8589930496,7370252288,0
199,1771870214815,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,50,40,50,50,47.619049072265625,50,50,40,50,52.6315803527832,47.619049072265625,42.85714340209961,33.333335876464844,50,45,47.36842346191406,0,182571.86499023438,54889.855224609375,1426.775634765625,33048657920,8589930496,7399886848,0
199,1771870215015,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,45,42.85714340209961,40,38.095237731933594,36.842105865478516,42.105262756347656,45,47.36842346191406,35,42.85714340209961,45,47.36842346191406,42.85714340209961,50,55,50,0,182573.97912597656,54890.574462890625,1426.8500366210938,33048657920,8589930496,7423324160,0
199,1771870215215,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,47.36842346191406,45,47.36842346191406,42.85714340209961,45,52.6315803527832,44.4444465637207,45,45,35,42.105262756347656,47.619049072265625,45,52.6315803527832,60.000003814697266,50,0,182576.20391845703,54891.39807128906,1426.9156494140625,33048657920,8589930496,7436292096,0
199,1771870215416,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,20,20,21.052631378173828,20,20,21.052631378173828,15.000000953674316,55,20,45,25,21.052631378173828,30.000001907348633,25,42.105262756347656,40,0,182577.9971923828,54891.880920410156,1426.94384765625,33048657920,8589930496,7435472896,0
199,1771870215616,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,84.21052551269531,26.3157901763916,35,26.3157901763916,27.77777862548828,26.3157901763916,21.052631378173828,36.842105865478516,21.052631378173828,26.3157901763916,28.571430206298828,40,30.000001907348633,25,30.000001907348633,30.000001907348633,0,182580.07708740234,54892.629821777344,1426.9689331054688,33048657920,8589930496,7457345536,0
199,1771870215816,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,30.000001907348633,30.000001907348633,36.842105865478516,33.333335876464844,40,31.57894515991211,47.619049072265625,70,35,30.000001907348633,36.842105865478516,50,42.105262756347656,38.095237731933594,36.842105865478516,38.095237731933594,0,182582.09411621094,54893.306091308594,1426.9918212890625,33048657920,8589930496,7466041344,0
200,1771870216016,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,30.000001907348633,30.000001907348633,36.842105865478516,33.333335876464844,40,31.57894515991211,47.619049072265625,70,35,30.000001907348633,36.842105865478516,50,42.105262756347656,38.095237731933594,36.842105865478516,38.095237731933594,0,182584.38549804688,54894.22198486328,1427.0079345703125,33048657920,8589930496,7487672320,0
199,1771870216216,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,41.02564239501953,39.02438735961914,38.46154022216797,41.02564239501953,64.10256958007813,46.153846740722656,50,47.5,37.5,45,40,50,42.5,41.02564239501953,37.5,44.73684310913086,0,182586.68048095703,54895.168212890625,1427.0325317382813,33048657920,8589930496,7489392640,0
199,1771870216416,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,33.333335876464844,21.052631378173828,26.3157901763916,16.666667938232422,27.272727966308594,45,45,36.842105865478516,33.333335876464844,31.57894515991211,36.842105865478516,85,42.85714340209961,52.6315803527832,26.3157901763916,30.000001907348633,0,182588.8790283203,54896.024169921875,1427.048095703125,33048657920,8589930496,7507869696,0
200,1771870216616,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,5.263157844543457,5.263157844543457,35,15.000000953674316,35,5.555555820465088,21.052631378173828,19.047618865966797,10.526315689086914,28.571430206298828,54.54545593261719,42.105262756347656,15.789472579956055,20,25,21.052631378173828,0,182590.75903320313,54896.615783691406,1427.0657958984375,33048657920,8589930496,7534272512,0
199,1771870216816,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,25,28.571430206298828,45,30.000001907348633,25,25,15.789472579956055,31.57894515991211,25,15.789472579956055,16.666667938232422,15.000000953674316,19.047618865966797,21.052631378173828,47.36842346191406,30.000001907348633,0,182592.51306152344,54897.10125732422,1427.070556640625,33048657920,8589930496,7556300800,0
199,1771870217016,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,10,5.263157844543457,22.22222328186035,15.000000953674316,10,10.526315689086914,25,14.285715103149414,45,10,25,25,10,14.285715103149414,19.047618865966797,26.3157901763916,0,182594.14306640625,54897.490966796875,1427.0715942382813,33048657920,8589930496,7561834496,0
200,1771870217216,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,50,45,71.42857360839844,50,47.36842346191406,52.38095474243164,61.904762268066406,68.42105102539063,50,50,55,60.000003814697266,52.6315803527832,47.36842346191406,42.105262756347656,71.42857360839844,0,182596.84375,54898.71990966797,1427.1617431640625,33048657920,8589930496,7589085184,0
199,1771870217417,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,47.36842346191406,40,42.105262756347656,42.105262756347656,42.105262756347656,68.42105102539063,42.105262756347656,42.105262756347656,80,47.619049072265625,50,40,35,35,45,70,0,182599.4193725586,54899.85803222656,1427.2362670898438,33048657920,8589930496,7600906240,0
199,1771870217617,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,55,42.85714340209961,50,42.85714340209961,47.619049072265625,57.894737243652344,42.105262756347656,68.42105102539063,65,42.105262756347656,42.85714340209961,73.68421173095703,47.36842346191406,50,45,50,0,182602.06127929688,54901.038635253906,1427.3388061523438,33048657920,8589930496,7612698624,0
199,1771870217817,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,55,57.894737243652344,63.15789031982422,57.894737243652344,66.66667175292969,60.000003814697266,66.66667175292969,68.42105102539063,55,50,60.000003814697266,55,61.904762268066406,71.42857360839844,60.000003814697266,65,0,182605.01782226563,54902.515380859375,1427.427490234375,33048657920,8589930496,7619018752,0
199,1771870218017,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,60.000003814697266,60.000003814697266,71.42857360839844,65,65,70,72.22222137451172,68.42105102539063,60.000003814697266,65,65,65,65,68.42105102539063,65,68.42105102539063,0,182608.17413330078,54904.211486816406,1427.4861450195313,33048657920,8589930496,7623643136,0
199,1771870218217,400,1562,1185,1173,1199,1168,1100,1099,400,400,1341,400,1140,1390,1154,1123,52.6315803527832,52.6315803527832,55,55,55,60.000003814697266,65,55,52.6315803527832,55,57.894737243652344,57.894737243652344,57.894737243652344,55,57.894737243652344,60.000003814697266,0,182610.99530029297,54905.651428222656,1427.508544921875,33048657920,8589930496,7625142272,0
