Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771870660898,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,15.000000953674316,12.820513725280762,7.692307949066162,10.526315689086914,12.820513725280762,15.000000953674316,12.820513725280762,7.894736289978027,5.128205299377441,7.692307949066162,7.692307949066162,7.692307949066162,10.256410598754883,7.500000476837158,5.263157844543457,7.692307949066162,0,185765.0634765625,55346.189697265625,1472.0538940429688,33048657920,8589930496,7215173632,0
200,1771870660898,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,15.000000953674316,12.820513725280762,7.692307949066162,10.526315689086914,12.820513725280762,15.000000953674316,12.820513725280762,7.894736289978027,5.128205299377441,7.692307949066162,7.692307949066162,7.692307949066162,10.256410598754883,7.500000476837158,5.263157844543457,7.692307949066162,0,185765.07153320313,55346.19073486328,1472.0538940429688,33048657920,8589930496,7215173632,0
200,1771870661098,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,0,0,35,4.761904716491699,0,0,0,0,21.052631378173828,0,0,0,4.761904716491699,45,4.761904716491699,4.761904716491699,0,185766.87628173828,55346.34362792969,1472.0538940429688,33048657920,8589930496,7244247040,0
200,1771870661298,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,0,0,100,9.523809432983398,0,0,4.761904716491699,0,0,0,0,0,0,15.000000953674316,0,10,0,185768.26385498047,55346.509704589844,1472.0556030273438,33048657920,8589930496,7280553984,0
200,1771870661498,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,0,0,66.66667175292969,10,10,0,0,10,35,4.761904716491699,0,0,0,0,18.18181800842285,15.789472579956055,0,185769.80798339844,55346.83251953125,1472.0556030273438,33048657920,8589930496,7316881408,0
200,1771870661698,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,4.761904716491699,0,5,5.263157844543457,20,30.000001907348633,5,5,9.523809432983398,0,0,5,68.42105102539063,0,0,23.809524536132813,0,185771.22869873047,55347.01300048828,1472.0556030273438,33048657920,8589930496,7383613440,0
199,1771870661899,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,0,10,0,5,5.263157844543457,30.000001907348633,0,10,0,5.263157844543457,9.523809432983398,5,31.57894515991211,65,20,5.263157844543457,0,185772.73266601563,55347.27697753906,1472.0556030273438,33048657920,8589930496,7431438336,0
200,1771870662099,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,10,45,20,20,10.526315689086914,21.052631378173828,9.523809432983398,5.263157844543457,10.526315689086914,10,57.894737243652344,5,10,15.000000953674316,5.263157844543457,10,0,185774.49102783203,55347.75207519531,1472.0556030273438,33048657920,8589930496,7457939456,0
199,1771870662299,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,0,0,0,15.000000953674316,10,40,5.263157844543457,10,9.523809432983398,14.285715103149414,14.285715103149414,5.263157844543457,15.000000953674316,50,19.047618865966797,0,0,185776.02392578125,55348.02459716797,1472.0611572265625,33048657920,8589930496,7465889792,0
200,1771870662499,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,19.047618865966797,9.523809432983398,5,10,90,10,15.000000953674316,5,15.000000953674316,5.263157844543457,5.263157844543457,10,9.523809432983398,13.636363983154297,9.523809432983398,0,0,185777.4981689453,55348.291748046875,1472.062255859375,33048657920,8589930496,7493304320,0
199,1771870662699,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,10.526315689086914,15.000000953674316,14.285715103149414,42.85714340209961,30.000001907348633,35,10.526315689086914,10,14.285715103149414,40,15.000000953674316,5.263157844543457,21.052631378173828,15.000000953674316,15.789472579956055,14.285715103149414,0,185779.12634277344,55348.6875,1472.064208984375,33048657920,8589930496,7516508160,0
199,1771870662899,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,30.000001907348633,33.333335876464844,35,31.57894515991211,36.842105865478516,26.3157901763916,47.619049072265625,26.3157901763916,21.052631378173828,61.904762268066406,30.000001907348633,38.095237731933594,30.000001907348633,25,31.57894515991211,36.842105865478516,0,185781.13793945313,55349.368408203125,1472.0965576171875,33048657920,8589930496,7598399488,0
199,1771870663099,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,30.000001907348633,26.3157901763916,36.842105865478516,38.095237731933594,35,36.842105865478516,30.000001907348633,61.904762268066406,25,35,25,47.36842346191406,28.571430206298828,26.3157901763916,38.095237731933594,21.052631378173828,0,185783.0385131836,55349.96759033203,1472.1099853515625,33048657920,8589930496,7644999680,0
199,1771870663299,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,10.526315689086914,19.047618865966797,20,42.105262756347656,33.333335876464844,20,15.000000953674316,27.77777862548828,15.789472579956055,15.000000953674316,15.000000953674316,23.809524536132813,15.000000953674316,25,10.526315689086914,15.000000953674316,0,185784.6558227539,55350.31707763672,1472.1276245117188,33048657920,8589930496,7654031360,0
199,1771870663500,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,33.333335876464844,15.789472579956055,16.666667938232422,33.333335876464844,21.052631378173828,42.105262756347656,42.85714340209961,28.571430206298828,33.333335876464844,21.052631378173828,55,20,15.789472579956055,25,25,15.000000953674316,0,185786.46258544922,55350.84637451172,1472.1473388671875,33048657920,8589930496,7662305280,0
200,1771870663700,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,33.333335876464844,15.789472579956055,16.666667938232422,33.333335876464844,21.052631378173828,42.105262756347656,42.85714340209961,28.571430206298828,33.333335876464844,21.052631378173828,55,20,15.789472579956055,25,25,15.000000953674316,0,185788.41845703125,55351.50518798828,1472.1672973632813,33048657920,8589930496,7682949120,0
200,1771870663900,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,22.5,22.5,29.268291473388672,28.947368621826172,33.333335876464844,22.5,48.71794891357422,23.68421173095703,33.333335876464844,28.205129623413086,40,30.000001907348633,28.947368621826172,28.947368621826172,30.000001907348633,35.897438049316406,0,185790.23461914063,55352.02941894531,1472.1792602539063,33048657920,8589930496,7701860352,0
200,1771870664100,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,31.57894515991211,31.57894515991211,31.57894515991211,65,38.095237731933594,35,55,35,35,90,40,42.105262756347656,40,38.095237731933594,35,38.095237731933594,0,185792.57666015625,55353.026611328125,1472.1920776367188,33048657920,8589930496,7720828928,0
200,1771870664300,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,38.095237731933594,26.3157901763916,40,30.000001907348633,27.77777862548828,30.000001907348633,36.842105865478516,36.842105865478516,28.571430206298828,95.23809814453125,31.57894515991211,30.000001907348633,31.57894515991211,55,31.57894515991211,50,0,185794.8130493164,55353.94268798828,1472.2032470703125,33048657920,8589930496,7753502720,0
199,1771870664500,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,11.111111640930176,30.000001907348633,60.000003814697266,26.3157901763916,14.285715103149414,21.052631378173828,35,70,0,10,23.809524536132813,5.263157844543457,20,5.555555820465088,5,10,0,185796.4324951172,55354.2919921875,1472.2032470703125,33048657920,8589930496,7715016704,0
199,1771870664700,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,20,57.142860412597656,30.000001907348633,20,15.000000953674316,15.789472579956055,28.571430206298828,15.000000953674316,30.000001907348633,15.000000953674316,20,15.000000953674316,25,18.18181800842285,15.000000953674316,15.000000953674316,0,185798.13836669922,55354.764709472656,1472.2032470703125,33048657920,8589930496,7736131584,0
199,1771870664900,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,23.809524536132813,5.263157844543457,10.526315689086914,20,10.526315689086914,10,11.111111640930176,10.526315689086914,10,30.000001907348633,26.3157901763916,10,14.285715103149414,31.57894515991211,26.3157901763916,10.526315689086914,0,185799.7266845703,55355.13098144531,1472.2032470703125,33048657920,8589930496,7752499200,0
199,1771870665100,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,35,25,30.000001907348633,25,57.142860412597656,30.000001907348633,45,55,31.57894515991211,26.3157901763916,25,25,25,26.3157901763916,28.571430206298828,20,0,185801.58471679688,55355.71209716797,1472.2080688476563,33048657920,8589930496,7770263552,0
199,1771870665300,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,73.68421173095703,63.15789031982422,68.42105102539063,71.42857360839844,73.68421173095703,75,71.42857360839844,70,63.15789031982422,71.42857360839844,65,65,70,70,73.68421173095703,70,0,185804.7908935547,55357.512939453125,1472.2220458984375,33048657920,8589930496,7782928384,0
199,1771870665501,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,47.36842346191406,57.142860412597656,66.66667175292969,57.894737243652344,60.000003814697266,60.000003814697266,60.000003814697266,55,55,50,55,57.894737243652344,68.42105102539063,73.68421173095703,55,60.000003814697266,0,185807.59533691406,55358.95300292969,1472.2428588867188,33048657920,8589930496,7793709056,0
199,1771870665701,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,61.904762268066406,63.15789031982422,66.66667175292969,61.904762268066406,65,75,68.42105102539063,68.42105102539063,65,60.000003814697266,70,65,65,60.000003814697266,60.000003814697266,55,0,185810.7254638672,55360.6767578125,1472.2711791992188,33048657920,8589930496,7795630080,0
199,1771870665901,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,57.894737243652344,50,55.55555725097656,57.894737243652344,60.000003814697266,57.894737243652344,63.15789031982422,70,57.142860412597656,55,55,55,60.000003814697266,57.142860412597656,66.66667175292969,52.6315803527832,0,185813.54803466797,55362.109313964844,1472.2972412109375,33048657920,8589930496,7799603200,0
199,1771870666101,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,57.894737243652344,50,55.55555725097656,57.894737243652344,60.000003814697266,57.894737243652344,63.15789031982422,70,57.142860412597656,55,55,55,60.000003814697266,57.142860412597656,66.66667175292969,52.6315803527832,0,185816.5321044922,55363.70690917969,1472.3244018554688,33048657920,8589930496,7800623104,0
200,1771870666301,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,57.5,60.000003814697266,60.000003814697266,64.10256958007813,65,60.000003814697266,71.79487609863281,60.000003814697266,58.974361419677734,57.894737243652344,63.414634704589844,57.5,62.5,63.414634704589844,58.974361419677734,60.97561264038086,0,185819.57305908203,55365.343017578125,1472.3590698242188,33048657920,8589930496,7803920384,0
199,1771870666502,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,63.15789031982422,55,60.000003814697266,65,65,70,70,73.68421173095703,52.6315803527832,60.000003814697266,63.15789031982422,57.894737243652344,61.904762268066406,55.55555725097656,61.904762268066406,55,0,185822.6146850586,55366.980224609375,1472.3889770507813,33048657920,8589930496,7806836736,0
200,1771870666702,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,59.09090805053711,60.000003814697266,57.894737243652344,66.66667175292969,63.15789031982422,57.894737243652344,63.15789031982422,75,61.904762268066406,60.000003814697266,60.000003814697266,60.000003814697266,57.894737243652344,63.15789031982422,63.15789031982422,63.15789031982422,0,185825.62060546875,55368.594787597656,1472.4163208007813,33048657920,8589930496,7777734656,0
199,1771870666902,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,52.6315803527832,60.000003814697266,63.6363639831543,68.42105102539063,60.000003814697266,55,63.15789031982422,57.894737243652344,60.000003814697266,52.38095474243164,60.000003814697266,57.894737243652344,60.000003814697266,57.142860412597656,55,60.000003814697266,0,185828.54071044922,55370.133728027344,1472.442626953125,33048657920,8589930496,7783133184,0
200,1771870667102,1717,1500,1274,1102,1088,1085,1099,1100,1800,1588,1627,1736,975,969,964,995,60.000003814697266,57.894737243652344,55,55,57.142860412597656,65,65,57.894737243652344,60.000003814697266,57.894737243652344,65,55,63.15789031982422,57.894737243652344,55,60.000003814697266,0,185831.52807617188,55371.73455810547,1472.4671020507813,33048657920,8589930496,7788535808,0
