Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876460702,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,33.333335876464844,71.42857360839844,30.30303192138672,32.352943420410156,29.411766052246094,27.272727966308594,45.71428680419922,33.333335876464844,29.411766052246094,22.85714340209961,27.272727966308594,30.30303192138672,39.39393997192383,25,42.42424392700195,16.129032135009766,0,232314.17529296875,65580.31970214844,1994.2222290039063,33048657920,8589930496,8714293248,0
199,1771876460702,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,33.333335876464844,71.42857360839844,30.30303192138672,32.352943420410156,29.411766052246094,27.272727966308594,45.71428680419922,33.333335876464844,29.411766052246094,22.85714340209961,27.272727966308594,30.30303192138672,39.39393997192383,25,42.42424392700195,16.129032135009766,0,232314.17529296875,65580.31970214844,1994.2222290039063,33048657920,8589930496,8714293248,0
199,1771876460902,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,23.809524536132813,10.526315689086914,42.105262756347656,50,35,14.285715103149414,45,14.285715103149414,26.3157901763916,15.789472579956055,15.789472579956055,10.526315689086914,25,25,45,10,0,232316.7993774414,65581.43627929688,1994.2398681640625,33048657920,8589930496,8779669504,0
199,1771876461102,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,35,40,50,31.57894515991211,31.57894515991211,26.3157901763916,40,22.22222328186035,26.3157901763916,40,42.85714340209961,31.57894515991211,47.619049072265625,36.842105865478516,31.57894515991211,25,0,232320.37188720703,65583.36572265625,1994.27001953125,33048657920,8589930496,8817377280,0
199,1771876461302,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,26.3157901763916,36.842105865478516,31.57894515991211,31.57894515991211,25,26.3157901763916,22.22222328186035,40.90909194946289,36.842105865478516,42.105262756347656,36.842105865478516,36.842105865478516,55,26.3157901763916,33.333335876464844,20,0,232323.80908203125,65585.10852050781,1994.3134155273438,33048657920,8589930496,8850026496,0
199,1771876461503,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,25,40,31.57894515991211,30.000001907348633,45,31.57894515991211,30.000001907348633,31.57894515991211,50,40,45,40,36.842105865478516,30.000001907348633,25,35,0,232327.21630859375,65587.11724853516,1994.326416015625,33048657920,8589930496,8877768704,0
199,1771876461703,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,31.57894515991211,38.095237731933594,57.142860412597656,36.842105865478516,35,42.105262756347656,47.619049072265625,35,42.105262756347656,40,45,52.6315803527832,38.095237731933594,55,52.6315803527832,47.36842346191406,0,232331.0859375,65589.19775390625,1994.3699951171875,33048657920,8589930496,8917852160,0
199,1771876461903,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,47.619049072265625,30.000001907348633,52.6315803527832,35,35,35,42.105262756347656,31.57894515991211,31.57894515991211,50,40,26.3157901763916,36.842105865478516,50,42.105262756347656,47.619049072265625,0,232334.53161621094,65590.87579345703,1994.416259765625,33048657920,8589930496,8953729024,0
199,1771876462103,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,40,31.57894515991211,36.842105865478516,47.619049072265625,40,38.095237731933594,31.57894515991211,30.000001907348633,35,30.000001907348633,42.85714340209961,26.3157901763916,45,40,35,31.57894515991211,0,232337.2451171875,65591.98266601563,1994.4523315429688,33048657920,8589930496,8993779712,0
199,1771876462303,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,40,31.57894515991211,36.842105865478516,47.619049072265625,40,38.095237731933594,31.57894515991211,30.000001907348633,35,30.000001907348633,42.85714340209961,26.3157901763916,45,40,35,31.57894515991211,0,232341.78448486328,65594.69445800781,1994.4946899414063,33048657920,8589930496,9030074368,0
199,1771876462503,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,40,48.71794891357422,47.5,48.71794891357422,53.84615707397461,46.153846740722656,41.02564239501953,48.71794891357422,48.780487060546875,47.36842346191406,44.73684310913086,42.5,46.153846740722656,42.105262756347656,50,51.28205490112305,0,232345.60455322266,65596.74896240234,1994.5197143554688,33048657920,8589930496,9041965056,0
199,1771876462703,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,40,48.71794891357422,47.5,48.71794891357422,53.84615707397461,46.153846740722656,41.02564239501953,48.71794891357422,48.780487060546875,47.36842346191406,44.73684310913086,42.5,46.153846740722656,42.105262756347656,50,51.28205490112305,0,232350.23413085938,65599.55889892578,1994.5611572265625,33048657920,8589930496,9028112384,0
199,1771876462903,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,46.153846740722656,39.02438735961914,45,46.34146499633789,48.71794891357422,46.34146499633789,47.5,47.5,42.5,46.34146499633789,42.5,50,47.5,46.34146499633789,52.499996185302734,42.5,0,232353.37579345703,65600.92016601563,1994.604736328125,33048657920,8589930496,9030610944,0
199,1771876463103,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,45,45,52.6315803527832,42.105262756347656,40,42.105262756347656,50,47.36842346191406,52.6315803527832,55,42.105262756347656,55,47.619049072265625,50,47.36842346191406,45,0,232358.31030273438,65604.02130126953,1994.6398315429688,33048657920,8589930496,9044541440,0
199,1771876463303,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,57.894737243652344,50,55,68.42105102539063,55,60.000003814697266,63.15789031982422,60.000003814697266,50,57.142860412597656,50,55.55555725097656,47.36842346191406,52.6315803527832,55,55,0,232365.13458251953,65608.87274169922,1994.6773681640625,33048657920,8589930496,9074348032,0
200,1771876463503,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,57.894737243652344,50,55,68.42105102539063,55,60.000003814697266,63.15789031982422,60.000003814697266,50,57.142860412597656,50,55.55555725097656,47.36842346191406,52.6315803527832,55,55,0,232367.99743652344,65610.30108642578,1994.6773681640625,33048657920,8589930496,9091215360,0
200,1771876463703,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,39.02438735961914,33.333335876464844,45,31.57894515991211,25.641027450561523,38.46154022216797,30.76923179626465,28.205129623413086,38.46154022216797,23.076923370361328,25.641027450561523,46.34146499633789,37.5,38.46154022216797,42.105262756347656,27.5,0,232370.9574584961,65611.88696289063,1994.6773681640625,33048657920,8589930496,9111986176,0
199,1771876463904,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,70,55,65,66.66667175292969,61.904762268066406,57.142860412597656,61.904762268066406,47.36842346191406,57.142860412597656,52.6315803527832,60.000003814697266,65,65,66.66667175292969,52.38095474243164,52.38095474243164,0,232378.08087158203,65617.1675415039,1994.7177124023438,33048657920,8589930496,9148538880,0
200,1771876464104,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,63.15789031982422,60.000003814697266,95,90,89.47368621826172,90,63.15789031982422,70,63.15789031982422,57.142860412597656,55,63.15789031982422,90,84.21052551269531,63.15789031982422,89.47368621826172,0,232387.72094726563,65624.94616699219,1994.7540283203125,33048657920,8589930496,9160859648,0
199,1771876464305,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,55,55,50,52.38095474243164,50,50,65,55,55.55555725097656,55,52.38095474243164,50,60.000003814697266,52.38095474243164,50,0,232394.40447998047,65629.58239746094,1994.8082885742188,33048657920,8589930496,9162346496,0
199,1771876464505,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,55,55,50,52.38095474243164,50,50,65,55,55.55555725097656,55,52.38095474243164,50,60.000003814697266,52.38095474243164,50,0,232401.66833496094,65634.75854492188,1994.86083984375,33048657920,8589930496,9165824000,0
199,1771876464705,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,53.84615707397461,53.84615707397461,57.5,52.499996185302734,57.142860412597656,52.499996185302734,61.5384635925293,51.28205490112305,55,51.219512939453125,56.09756088256836,52.6315803527832,52.499996185302734,58.536582946777344,56.09756088256836,55,0,232407.56018066406,65638.63458251953,1994.92333984375,33048657920,8589930496,9166651392,0
200,1771876464905,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,53.84615707397461,53.84615707397461,57.5,52.499996185302734,57.142860412597656,52.499996185302734,61.5384635925293,51.28205490112305,55,51.219512939453125,56.09756088256836,52.6315803527832,52.499996185302734,58.536582946777344,56.09756088256836,55,0,232416.04071044922,65645.0933227539,1994.9795532226563,33048657920,8589930496,9169858560,0
200,1771876465105,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,57.5,67.5,60.000003814697266,52.499996185302734,56.41025924682617,58.536582946777344,52.499996185302734,55.26315689086914,64.10256958007813,56.41025924682617,56.41025924682617,54.761905670166016,56.41025924682617,57.894737243652344,53.84615707397461,55,0,232424.04760742188,65651.17205810547,1995.038330078125,33048657920,8589930496,9170051072,0
200,1771876465305,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,55,55,55,52.6315803527832,60.000003814697266,57.894737243652344,61.904762268066406,57.142860412597656,52.6315803527832,52.6315803527832,57.894737243652344,55,60.000003814697266,55,55,0,232430.93212890625,65656.11248779297,1995.0933227539063,33048657920,8589930496,9173708800,0
199,1771876465505,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,57.894737243652344,60.000003814697266,55,55,52.38095474243164,60.000003814697266,52.6315803527832,50,50,55,50,55,61.904762268066406,65,55,0,232438.44122314453,65661.6636352539,1995.15673828125,33048657920,8589930496,9176186880,0
199,1771876465706,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,61.904762268066406,52.38095474243164,55,55,55,63.15789031982422,55,60.000003814697266,52.6315803527832,50,50,50,52.6315803527832,55,57.142860412597656,57.142860412597656,0,232444.59271240234,65665.8568725586,1995.2135620117188,33048657920,8589930496,9179324416,0
199,1771876465906,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,57.894737243652344,55.55555725097656,57.142860412597656,50,54.54545593261719,57.894737243652344,60.000003814697266,55,61.904762268066406,57.894737243652344,61.904762268066406,60.000003814697266,57.894737243652344,52.6315803527832,52.6315803527832,0,232451.58233642578,65670.87969970703,1995.2679443359375,33048657920,8589930496,9182093312,0
200,1771876466106,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,60.000003814697266,55,57.142860412597656,52.6315803527832,55,55,57.894737243652344,52.6315803527832,60.000003814697266,57.894737243652344,55,57.894737243652344,55,61.904762268066406,52.6315803527832,52.38095474243164,0,232459.17315673828,65676.52331542969,1995.3231811523438,33048657920,8589930496,9184915456,0
199,1771876466307,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,57.894737243652344,55,57.142860412597656,50,47.36842346191406,52.6315803527832,55,55,50,55,47.36842346191406,57.142860412597656,47.36842346191406,52.38095474243164,52.6315803527832,0,232465.4666748047,65680.84313964844,1995.3794555664063,33048657920,8589930496,9189949440,0
199,1771876466507,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,60.000003814697266,55,50,57.894737243652344,50,55,65,63.15789031982422,47.36842346191406,55,55,60.000003814697266,60.000003814697266,57.142860412597656,57.894737243652344,55,0,232472.9312133789,65686.23150634766,1995.433837890625,33048657920,8589930496,9157124096,0
199,1771876466707,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,60.000003814697266,55,52.6315803527832,52.38095474243164,55,55,50,61.904762268066406,57.142860412597656,57.142860412597656,55,47.36842346191406,52.6315803527832,55,50,50,0,232479.3983154297,65690.6958618164,1995.485107421875,33048657920,8589930496,9158647808,0
199,1771876466907,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,60.000003814697266,55,60.000003814697266,52.6315803527832,52.6315803527832,55,60.000003814697266,47.36842346191406,52.6315803527832,50,57.142860412597656,57.142860412597656,55,55,57.142860412597656,55,0,232486.20013427734,65695.50482177734,1995.5426635742188,33048657920,8589930496,9159925760,0
199,1771876467107,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,60.000003814697266,55,60.000003814697266,52.6315803527832,52.6315803527832,55,60.000003814697266,47.36842346191406,52.6315803527832,50,57.142860412597656,57.142860412597656,55,55,57.142860412597656,55,0,232491.87170410156,65699.15869140625,1995.5923461914063,33048657920,8589930496,9163014144,0
200,1771876467307,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,53.84615707397461,55,52.499996185302734,51.28205490112305,55,51.219512939453125,57.894737243652344,57.894737243652344,55,52.499996185302734,52.6315803527832,53.658538818359375,55,55,61.5384635925293,57.5,0,232498.7987060547,65704.05212402344,1995.6486206054688,33048657920,8589930496,9165398016,0
199,1771876467507,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.38095474243164,55,60.000003814697266,57.142860412597656,50,52.6315803527832,52.38095474243164,50,52.6315803527832,55,52.38095474243164,55,55,68.42105102539063,55,50,0,232505.28637695313,65708.55822753906,1995.7106323242188,33048657920,8589930496,9168830464,0
199,1771876467707,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.38095474243164,55,60.000003814697266,57.142860412597656,50,52.6315803527832,52.38095474243164,50,52.6315803527832,55,52.38095474243164,55,55,68.42105102539063,55,50,0,232513.75164794922,65715.11096191406,1995.7706909179688,33048657920,8589930496,9169977344,0
199,1771876467907,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,62.5,52.499996185302734,56.09756088256836,58.974361419677734,55,52.499996185302734,53.84615707397461,58.536582946777344,57.5,60.000003814697266,51.351348876953125,57.5,58.974361419677734,61.5384635925293,56.41025924682617,56.41025924682617,0,232520.87237548828,65720.28448486328,1995.8294067382813,33048657920,8589930496,9173577728,0
199,1771876468108,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,63.15789031982422,65,60.000003814697266,55,55,65,60.000003814697266,50,61.904762268066406,55,52.38095474243164,52.6315803527832,60.000003814697266,66.66667175292969,70,66.66667175292969,0,232528.35089111328,65725.80932617188,1995.8884887695313,33048657920,8589930496,9175855104,0
199,1771876468307,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,63.15789031982422,65,60.000003814697266,55,55,65,60.000003814697266,50,61.904762268066406,55,52.38095474243164,52.6315803527832,60.000003814697266,66.66667175292969,70,66.66667175292969,0,232536.6182861328,65732.20001220703,1995.9459838867188,33048657920,8589930496,9178177536,0
199,1771876468508,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,60.000003814697266,55,55,50,55,57.5,53.84615707397461,51.28205490112305,60.52631759643555,52.6315803527832,54.761905670166016,53.84615707397461,57.5,58.974361419677734,57.5,55,0,232543.61065673828,65737.18115234375,1996.0078125,33048657920,8589930496,9181483008,0
199,1771876468708,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,47.36842346191406,55,50,50,55,60.000003814697266,55,55,45,52.6315803527832,50,55,52.6315803527832,57.894737243652344,50,0,232549.6064453125,65741.1381225586,1996.0584106445313,33048657920,8589930496,9183784960,0
199,1771876468908,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,50,57.142860412597656,52.38095474243164,57.894737243652344,52.6315803527832,57.894737243652344,57.894737243652344,52.38095474243164,55,52.6315803527832,57.142860412597656,50,59.09090805053711,52.38095474243164,50,0,232555.39947509766,65744.98223876953,1996.1104736328125,33048657920,8589930496,9189138432,0
199,1771876469108,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55.55555725097656,55,52.6315803527832,52.6315803527832,52.38095474243164,55,55,60.000003814697266,55,55,55,50,55,52.6315803527832,55,52.6315803527832,0,232561.59576416016,65749.25561523438,1996.161865234375,33048657920,8589930496,9195810816,0
199,1771876469308,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,45,57.894737243652344,52.6315803527832,52.6315803527832,52.6315803527832,60.000003814697266,50,42.105262756347656,50,55,50,55,57.894737243652344,52.6315803527832,45,0,232567.3602294922,65753.11108398438,1996.2234497070313,33048657920,8589930496,9197010944,0
199,1771876469508,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,55,57.142860412597656,55,57.142860412597656,50,57.142860412597656,52.6315803527832,55,55,52.6315803527832,52.6315803527832,65,50,47.619049072265625,47.36842346191406,0,232573.2930908203,65757.10284423828,1996.2792358398438,33048657920,8589930496,9197248512,0
200,1771876469708,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,55,52.6315803527832,50,42.105262756347656,50,42.105262756347656,50,52.38095474243164,60.000003814697266,50,55,50,47.36842346191406,47.36842346191406,47.619049072265625,0,232579.56060791016,65761.44689941406,1996.3317260742188,33048657920,8589930496,9219674112,0
200,1771876469908,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,55,55,60.000003814697266,60.000003814697266,52.6315803527832,50,68.42105102539063,55,52.6315803527832,52.6315803527832,52.38095474243164,50,55,55,55,61.904762268066406,0,232586.73083496094,65766.56524658203,1996.4070434570313,33048657920,8589930496,9236594688,0
199,1771876470109,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,47.36842346191406,55,52.6315803527832,52.38095474243164,55,60.000003814697266,60.000003814697266,54.54545593261719,50,52.6315803527832,55,60.000003814697266,59.09090805053711,57.894737243652344,55,0,232592.4169921875,65770.29455566406,1996.4560546875,33048657920,8589930496,9239490560,0
200,1771876470309,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,47.36842346191406,55,52.6315803527832,52.38095474243164,55,60.000003814697266,60.000003814697266,54.54545593261719,50,52.6315803527832,55,60.000003814697266,59.09090805053711,57.894737243652344,55,0,232600.09759521484,65776.02117919922,1996.5051879882813,33048657920,8589930496,9227620352,0
199,1771876470509,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,51.28205490112305,57.5,62.5,66.66667175292969,67.5,67.5,58.536582946777344,55,57.894737243652344,51.28205490112305,55,53.84615707397461,67.5,69.23077392578125,70,70.73170471191406,0,232606.3427734375,65780.41864013672,1996.5687866210938,33048657920,8589930496,9228750848,0
199,1771876470709,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.38095474243164,55,55,57.142860412597656,57.894737243652344,52.38095474243164,45,42.105262756347656,52.38095474243164,52.38095474243164,55,47.619049072265625,55,60.000003814697266,52.38095474243164,57.894737243652344,0,232611.1898803711,65783.36474609375,1996.619384765625,33048657920,8589930496,9229332480,0
199,1771876470909,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.38095474243164,55,55,57.142860412597656,57.894737243652344,52.38095474243164,45,42.105262756347656,52.38095474243164,52.38095474243164,55,47.619049072265625,55,60.000003814697266,52.38095474243164,57.894737243652344,0,232617.0401611328,65787.22064208984,1996.6834106445313,33048657920,8589930496,9204781056,0
200,1771876471109,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,51.28205490112305,55,60.000003814697266,57.5,57.5,60.000003814697266,57.894737243652344,52.6315803527832,55,57.5,55,55,57.5,56.41025924682617,57.894737243652344,55,0,232621.47967529297,65789.69458007813,1996.7483520507813,33048657920,8589930496,9197735936,0
199,1771876471309,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.38095474243164,55,52.6315803527832,52.6315803527832,52.38095474243164,45,55,57.142860412597656,52.6315803527832,50,47.36842346191406,52.6315803527832,55,52.38095474243164,55,47.36842346191406,0,232627.28051757813,65793.62628173828,1996.8058471679688,33048657920,8589930496,9194622976,0
199,1771876471509,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,50,45,50,57.142860412597656,50,50,50,47.36842346191406,47.619049072265625,50,50,50,60.000003814697266,52.38095474243164,60.000003814697266,50,0,232631.5795288086,65796.01379394531,1996.865234375,33048657920,8589930496,9199566848,0
199,1771876471710,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,50,55,55,47.36842346191406,55,52.6315803527832,57.894737243652344,55,47.36842346191406,52.38095474243164,45,60.000003814697266,50,50,47.619049072265625,0,232635.8754272461,65798.25189208984,1996.96142578125,33048657920,8589930496,9201311744,0
199,1771876471910,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,50,55,55,47.36842346191406,55,52.6315803527832,57.894737243652344,55,47.36842346191406,52.38095474243164,45,60.000003814697266,50,50,47.619049072265625,0,232640.35357666016,65800.6566772461,1997.0709228515625,33048657920,8589930496,9204903936,0
199,1771876472110,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,57.5,50,53.84615707397461,53.84615707397461,50,55.26315689086914,51.28205490112305,53.84615707397461,47.36842346191406,52.499996185302734,51.28205490112305,52.499996185302734,55,56.41025924682617,56.09756088256836,55,0,232646.3514404297,65804.57830810547,1997.1810302734375,33048657920,8589930496,9205288960,0
199,1771876472310,1500,1600,1200,1200,900,1134,2251,1094,1599,1441,1300,1799,2453,2123,3664,2506,52.6315803527832,52.6315803527832,61.11111068725586,57.142860412597656,57.894737243652344,60.000003814697266,57.142860412597656,55,57.142860412597656,52.6315803527832,55,57.142860412597656,52.6315803527832,57.894737243652344,52.6315803527832,57.894737243652344,0,232652.41638183594,65808.49157714844,1997.3311767578125,33048657920,8589930496,9193574400,0
