Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771890173471,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,18.421052932739258,8.108107566833496,10.526315689086914,10.810811042785645,10.526315689086914,13.51351261138916,15.384615898132324,10.810811042785645,5.555555820465088,8.108107566833496,15.789472579956055,8.108107566833496,8.108107566833496,10.810811042785645,10.526315689086914,8.108107566833496,0,10979.295593261719,71405.54876708984,2419.9610595703125,33048657920,8589930496,7099207680,0
200,1771890173471,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,18.421052932739258,8.108107566833496,10.526315689086914,10.810811042785645,10.526315689086914,13.51351261138916,15.384615898132324,10.810811042785645,5.555555820465088,8.108107566833496,15.789472579956055,8.108107566833496,8.108107566833496,10.810811042785645,10.526315689086914,8.108107566833496,0,10979.303955078125,71405.54998779297,2419.9610595703125,33048657920,8589930496,7099207680,0
199,1771890173671,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,0,38.095237731933594,5.263157844543457,4.761904716491699,5,5,0,0,9.523809432983398,0,0,0,0,55,0,0,0,10980.729309082031,71405.74835205078,2419.9866943359375,33048657920,8589930496,7118671872,0
199,1771890173871,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,23.809524536132813,0,33.333335876464844,14.285715103149414,10.526315689086914,5.263157844543457,9.523809432983398,5.555555820465088,0,5,5,0,5,52.6315803527832,26.3157901763916,10.526315689086914,0,10982.263244628906,71405.97528076172,2420.0433349609375,33048657920,8589930496,7172624384,0
199,1771890174071,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,5.263157844543457,5.263157844543457,15.789472579956055,36.842105865478516,10,5,5,0,47.36842346191406,5,5,0,25,14.285715103149414,9.090909004211426,9.090909004211426,0,10983.8447265625,71406.27807617188,2420.0991821289063,33048657920,8589930496,7204904960,0
199,1771890174271,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,15.000000953674316,20,54.54545593261719,25,40,20,31.57894515991211,20,25,84.21052551269531,36.842105865478516,30.000001907348633,45,27.77777862548828,38.88888931274414,22.22222328186035,0,10986.104370117188,71407.06817626953,2420.1746215820313,33048657920,8589930496,7292788736,0
199,1771890174471,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,30.000001907348633,15.000000953674316,26.3157901763916,15.789472579956055,21.052631378173828,20,20,11.111111640930176,10.526315689086914,14.285715103149414,10.526315689086914,30.000001907348633,52.6315803527832,35,35,85,0,10987.998840332031,71407.57690429688,2420.2589721679688,33048657920,8589930496,7399747584,0
199,1771890174671,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,5.263157844543457,10,15.000000953674316,5.263157844543457,35,21.052631378173828,63.15789031982422,19.047618865966797,14.285715103149414,10,0,5,19.047618865966797,15.000000953674316,20,20,0,10989.575073242188,71407.82025146484,2420.325439453125,33048657920,8589930496,7431319552,0
199,1771890174871,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,9.523809432983398,55,40,45,42.105262756347656,45,11.111111640930176,10.526315689086914,21.052631378173828,16.666667938232422,25,15.000000953674316,25,55,50,0,0,10991.578491210938,71408.49963378906,2420.3538818359375,33048657920,8589930496,7536631808,0
199,1771890175072,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,47.36842346191406,5,0,10,5,5,57.142860412597656,15.789472579956055,10,10,5,5,15.789472579956055,0,25,9.523809432983398,0,10993.148010253906,71408.79931640625,2420.365966796875,33048657920,8589930496,7542050816,0
200,1771890175272,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,40,21.052631378173828,15.000000953674316,40,25,42.85714340209961,50,16.666667938232422,20,15.789472579956055,19.047618865966797,63.15789031982422,21.052631378173828,21.052631378173828,26.3157901763916,21.052631378173828,0,10995.1123046875,71409.4458618164,2420.3971557617188,33048657920,8589930496,7581544448,0
199,1771890175472,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,5,9.523809432983398,5,0,10,21.052631378173828,0,10.526315689086914,4.761904716491699,9.090909004211426,0,5,9.523809432983398,63.15789031982422,0,5,0,10996.535461425781,71409.63098144531,2420.4163208007813,33048657920,8589930496,7594172416,0
199,1771890175672,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,25,10.526315689086914,5.263157844543457,10,0,5,4.761904716491699,5,15.789472579956055,0,4.761904716491699,0,10.526315689086914,90.90909576416016,5.263157844543457,5,0,10998.043823242188,71409.9282836914,2420.4171752929688,33048657920,8589930496,7657332736,0
200,1771890175872,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,5.263157844543457,5,35,14.285715103149414,15.789472579956055,10,10.526315689086914,9.523809432983398,15.000000953674316,10,10,19.047618865966797,45,52.6315803527832,15.000000953674316,15.000000953674316,0,10999.629638671875,71410.26544189453,2420.42333984375,33048657920,8589930496,7739375616,0
199,1771890176072,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,5,0,42.85714340209961,5,0,5,5,0,0,0,0,0,35,0,15.000000953674316,5,0,11000.981750488281,71410.40954589844,2420.4258422851563,33048657920,8589930496,7781347328,0
199,1771890176272,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,10,15.000000953674316,31.57894515991211,5.555555820465088,28.571430206298828,10.526315689086914,21.052631378173828,23.809524536132813,10.526315689086914,30.000001907348633,25,10.526315689086914,30.000001907348633,75,30.000001907348633,21.052631378173828,0,11002.720458984375,71410.84246826172,2420.4776000976563,33048657920,8589930496,7754821632,0
199,1771890176472,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,10,30.000001907348633,15.000000953674316,15.000000953674316,23.809524536132813,38.095237731933594,15.000000953674316,5,10,19.047618865966797,26.3157901763916,15.000000953674316,5.263157844543457,60.000003814697266,28.571430206298828,23.809524536132813,0,11004.512634277344,71411.3021850586,2420.5355834960938,33048657920,8589930496,7833198592,0
199,1771890176673,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,15.789472579956055,10.526315689086914,0,9.523809432983398,0,16.666667938232422,45,0,0,10,20,5,9.523809432983398,0,10.526315689086914,5.263157844543457,0,11005.965515136719,71411.52465820313,2420.5355834960938,33048657920,8589930496,7876026368,0
200,1771890176873,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,35,15.000000953674316,5,0,0,9.090909004211426,0,4.761904716491699,4.761904716491699,5.263157844543457,9.523809432983398,0,10,9.523809432983398,5,9.523809432983398,0,11007.350463867188,71411.71899414063,2420.5362548828125,33048657920,8589930496,7890579456,0
200,1771890177073,1797,1793,1126,1112,1090,1086,1100,400,400,400,1295,400,1356,1356,1294,1293,35,10,0,0,0,0,4.761904716491699,0,0,5,0,0,5,0,15.000000953674316,0,0,11008.680114746094,71411.87268066406,2420.5362548828125,33048657920,8589930496,7903510528,0
