Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771847436110,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,10,9.67741870880127,6.45161247253418,6.45161247253418,6.45161247253418,6.45161247253418,10,9.67741870880127,6.25,9.375,6.45161247253418,6.45161247253418,6.45161247253418,9.375,10,3.22580623626709,0,66843.05993652344,28975.632080078125,653.9286499023438,33048657920,8589930496,7209762816,0
200,1771847436110,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,10,9.67741870880127,6.45161247253418,6.45161247253418,6.45161247253418,6.45161247253418,10,9.67741870880127,6.25,9.375,6.45161247253418,6.45161247253418,6.45161247253418,9.375,10,3.22580623626709,0,66843.07482910156,28975.63787841797,653.9286499023438,33048657920,8589930496,7209762816,0
199,1771847436310,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,5,50,9.523809432983398,20,5,0,0,15.000000953674316,0,0,15.000000953674316,5,4.761904716491699,5,10,30.000001907348633,0,66847.31427001953,28978.16571044922,653.929443359375,33048657920,8589930496,7288270848,0
200,1771847436510,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,9.523809432983398,5,10,25,19.047618865966797,4.761904716491699,5,10.526315689086914,36.842105865478516,14.285715103149414,10,9.523809432983398,5.263157844543457,5.263157844543457,5,5,0,66851.54864501953,28980.57537841797,653.9769897460938,33048657920,8589930496,7301468160,0
200,1771847436710,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,5,10,0,0,0,0,5.263157844543457,0,23.809524536132813,5.263157844543457,60.000003814697266,0,5,5,9.523809432983398,15.000000953674316,0,66855.86096191406,28983.10137939453,654.0218505859375,33048657920,8589930496,7312609280,0
200,1771847436910,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,33.333335876464844,45,19.047618865966797,9.090909004211426,5.555555820465088,9.523809432983398,0,10,10,10,10,10,10,9.523809432983398,0,9.523809432983398,0,66860.35974121094,28985.652954101563,654.0856323242188,33048657920,8589930496,7345033216,0
199,1771847437110,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,68.42105102539063,15.000000953674316,5.555555820465088,5.263157844543457,10,5.263157844543457,14.285715103149414,0,5,5,10,5,5,5.263157844543457,5,5,0,66865.14251708984,28988.48748779297,654.1344604492188,33048657920,8589930496,7394365440,0
200,1771847437310,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,52.38095474243164,50,13.636363983154297,4.761904716491699,4.761904716491699,9.090909004211426,5,10,5,9.523809432983398,10.526315689086914,0,10,5.263157844543457,0,0,0,66870.04992675781,28991.54638671875,654.1435546875,33048657920,8589930496,7437611008,0
199,1771847437510,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,65,10.526315689086914,10,5.263157844543457,15.789472579956055,10,10.526315689086914,10,14.285715103149414,21.052631378173828,23.809524536132813,5,10,15.000000953674316,10.526315689086914,13.636363983154297,0,66875.12335205078,28994.647583007813,654.180908203125,33048657920,8589930496,7662792704,0
200,1771847437710,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,10,14.285715103149414,5.263157844543457,5,9.523809432983398,0,5,0,10.526315689086914,10,36.842105865478516,10,15.000000953674316,28.571430206298828,14.285715103149414,33.333335876464844,0,66879.76025390625,28997.243225097656,654.318359375,33048657920,8589930496,7757459456,0
199,1771847437910,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,52.6315803527832,5.263157844543457,14.285715103149414,9.523809432983398,5.263157844543457,5,5.263157844543457,9.523809432983398,10,25,15.000000953674316,45,10,10.526315689086914,15.789472579956055,19.047618865966797,0,66885.1860961914,29000.669555664063,654.409912109375,33048657920,8589930496,7795765248,0
199,1771847438111,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,45,31.81818199157715,5.263157844543457,10.526315689086914,14.285715103149414,5,5,5,19.047618865966797,23.809524536132813,26.3157901763916,10.526315689086914,15.789472579956055,10,10,5.263157844543457,0,66890.2963256836,29003.814880371094,654.5185546875,33048657920,8589930496,7844376576,0
199,1771847438311,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,11.111111640930176,22.22222328186035,5.263157844543457,25,5,10,5.263157844543457,15.789472579956055,15.000000953674316,20,14.285715103149414,20,5,10,14.285715103149414,9.523809432983398,0,66894.58294677734,29006.17987060547,654.6204223632813,33048657920,8589930496,7887142912,0
200,1771847438511,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,9.523809432983398,14.285715103149414,5,5.263157844543457,5.263157844543457,5,9.523809432983398,13.636363983154297,5.263157844543457,9.523809432983398,0,5.263157844543457,0,5.555555820465088,5.263157844543457,0,0,66897.89935302734,29007.726989746094,654.7078247070313,33048657920,8589930496,7899963392,0
200,1771847438711,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,0,5,0,0,0,5,0,0,5,0,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,0,66900.49542236328,29008.67852783203,654.7459106445313,33048657920,8589930496,7899889664,0
200,1771847438911,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,14.285715103149414,0,4.761904716491699,0,4.761904716491699,9.523809432983398,0,5,9.523809432983398,4.761904716491699,0,0,0,5,5,0,0,66902.84344482422,29009.566284179688,654.7551879882813,33048657920,8589930496,7900205056,0
199,1771847439111,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,5,0,5,4.761904716491699,0,0,0,0,5,0,0,0,5,0,0,5,0,66905.24420166016,29010.487365722656,654.7578125,33048657920,8589930496,7899992064,0
200,1771847439311,1798,400,4401,4401,4400,4401,1137,1179,1630,400,1464,1404,400,4329,4397,4402,0,0,0,0,5,0,0,5,0,0,4.761904716491699,9.523809432983398,5.263157844543457,0,0,0,0,66907.47784423828,29011.298400878906,654.759521484375,33048657920,8589930496,7900508160,0
