Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771464638801,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,14.285715103149414,7.500000476837158,4.878048419952393,7.142857551574707,7.142857551574707,9.756096839904785,14.634145736694336,7.500000476837158,4.878048419952393,4.878048419952393,5,4.761904716491699,7.142857551574707,9.523809432983398,4.878048419952393,7.317072868347168,0,26738.334411621094,1350.0675659179688,91.64373779296875,33048678400,8589930496,6632148992,0
200,1771464638802,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,14.285715103149414,7.500000476837158,4.878048419952393,7.142857551574707,7.142857551574707,9.756096839904785,14.634145736694336,7.500000476837158,4.878048419952393,4.878048419952393,5,4.761904716491699,7.142857551574707,9.523809432983398,4.878048419952393,7.317072868347168,0,26738.342712402344,1350.068359375,91.64373779296875,33048678400,8589930496,6632148992,0
200,1771464639002,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,0,27.272727966308594,40,0,0,0,0,0,0,0,0,0,35,0,0,0,0,26739.676696777344,1350.2222290039063,91.64727783203125,33048678400,8589930496,6665838592,0
200,1771464639202,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,0,0,0,0,10,0,10,0,4.761904716491699,0,4.761904716491699,4.761904716491699,100,9.523809432983398,4.761904716491699,4.761904716491699,0,26741.02703857422,1350.3838500976563,91.64727783203125,33048678400,8589930496,6696714240,0
199,1771464639402,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,5,0,11.111111640930176,5,25,25,26.3157901763916,0,5.263157844543457,4.761904716491699,0,0,95.23809814453125,5.263157844543457,15.000000953674316,21.052631378173828,0,26742.57586669922,1350.655517578125,91.66680908203125,33048678400,8589930496,6722191360,0
199,1771464639602,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,35,5,14.285715103149414,21.052631378173828,5,25,15.789472579956055,9.523809432983398,10,5,30.000001907348633,5,15.000000953674316,5,15.789472579956055,5,0,26744.171997070313,1350.985595703125,91.70648193359375,33048678400,8589930496,6756724736,0
200,1771464639802,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,0,0,10.526315689086914,9.523809432983398,5,61.904762268066406,0,0,5.263157844543457,10.526315689086914,25,5,36.842105865478516,0,14.285715103149414,0,0,26745.753662109375,1351.2933349609375,91.7222900390625,33048678400,8589930496,6771372032,0
200,1771464640002,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,0,4.761904716491699,0,0,0,15.000000953674316,0,0,5,0,55,31.57894515991211,5,5,0,4.761904716491699,0,26747.27294921875,1351.6089477539063,91.72625732421875,33048678400,8589930496,6783467520,0
199,1771464640202,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,14.285715103149414,0,5.263157844543457,0,0,0,0,0,5,14.285715103149414,20,38.095237731933594,10,50,5,36.842105865478516,0,26748.794067382813,1351.935791015625,91.72991943359375,33048678400,8589930496,6792343552,0
199,1771464640403,1777,1800,1221,1247,1230,1249,1099,400,1553,1799,1801,1476,1298,1287,1390,1299,0,0,5.263157844543457,15.000000953674316,0,0,0,0,0,0,10,0,0,89.47368621826172,0,4.761904716491699,0,26750.26153564453,1352.1166381835938,91.72998046875,33048678400,8589930496,6822817792,0
