Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771466694138,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,10.256410598754883,12.195121765136719,7.692307949066162,5.128205299377441,5,5.128205299377441,7.500000476837158,5,10,5.263157844543457,7.317072868347168,2.5641026496887207,2.6315789222717285,5.128205299377441,5.128205299377441,9.756096839904785,0,39056.76397705078,1947.0147705078125,163.1927490234375,33048678400,8589930496,6217568256,0
200,1771466694138,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,10.256410598754883,12.195121765136719,7.692307949066162,5.128205299377441,5,5.128205299377441,7.500000476837158,5,10,5.263157844543457,7.317072868347168,2.5641026496887207,2.6315789222717285,5.128205299377441,5.128205299377441,9.756096839904785,0,39056.77227783203,1947.0147705078125,163.1927490234375,33048678400,8589930496,6217568256,0
199,1771466694338,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,20,5,4.761904716491699,5,5,5,0,0,5,27.272727966308594,5,5,9.523809432983398,0,76.19047546386719,0,0,39058.236877441406,1947.2653198242188,163.20001220703125,33048678400,8589930496,6240833536,0
200,1771466694538,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,20,5,5,5,5,9.523809432983398,0,5,0,0,0,0,0,10,100,0,0,39059.63690185547,1947.4666137695313,163.2015380859375,33048678400,8589930496,6269161472,0
199,1771466694739,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,20,0,5,21.052631378173828,28.571430206298828,30.000001907348633,5,35,0,0,0,0,0,0,95.45454406738281,0,0,39061.091796875,1947.7030029296875,163.20233154296875,33048678400,8589930496,6293475328,0
200,1771466694939,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,30.000001907348633,45,0,5,0,5,9.523809432983398,5,5,5,5,0,20,0,42.105262756347656,4.761904716491699,0,39062.538330078125,1947.9607543945313,163.20233154296875,33048678400,8589930496,6324203520,0
199,1771466695139,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,20,0,45,4.761904716491699,4.761904716491699,10.526315689086914,5,50,0,0,5.263157844543457,5,36.842105865478516,5.263157844543457,0,5,0,39064.033447265625,1948.1990966796875,163.20611572265625,33048678400,8589930496,6355034112,0
200,1771466695339,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,95,30.000001907348633,0,5,0,0,0,14.285715103149414,5,4.761904716491699,5,0,0,4.761904716491699,0,0,0,39065.694885253906,1948.6691284179688,163.2071533203125,33048678400,8589930496,6358163456,0
199,1771466695539,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,60.000003814697266,45,30.000001907348633,5,5,10,10,0,26.3157901763916,0,0,0,30.000001907348633,5,10,5,0,39067.413330078125,1949.2009887695313,163.2071533203125,33048678400,8589930496,6378942464,0
199,1771466695739,400,400,1317,1339,1297,1361,400,400,1800,1799,1160,400,1314,1398,1399,400,63.15789031982422,4.761904716491699,0,0,15.789472579956055,0,4.761904716491699,0,33.333335876464844,0,15.000000953674316,5,9.523809432983398,5,0,0,0,39069.093322753906,1949.553466796875,163.210693359375,33048678400,8589930496,6404091904,0
