Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771854307811,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,12.121212005615234,8.823529243469238,3.125,6.060606002807617,6.25,3.125,6.060606002807617,8.823529243469238,3.125,6.25,6.060606002807617,3.22580623626709,6.060606002807617,5.882352828979492,3.22580623626709,6.060606002807617,0,136507.90814208984,51173.548767089844,1175.0617065429688,33048657920,8589930496,7083171840,0
200,1771854307811,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,12.121212005615234,8.823529243469238,3.125,6.060606002807617,6.25,3.125,6.060606002807617,8.823529243469238,3.125,6.25,6.060606002807617,3.22580623626709,6.060606002807617,5.882352828979492,3.22580623626709,6.060606002807617,0,136507.90814208984,51173.548767089844,1175.0617065429688,33048657920,8589930496,7083171840,0
200,1771854308011,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,0,36.842105865478516,4.761904716491699,15.000000953674316,5,0,0,0,0,0,4.761904716491699,23.809524536132813,0,0,5,14.285715103149414,0,136511.17236328125,51175.29034423828,1175.0617065429688,33048657920,8589930496,7159296000,0
200,1771854308211,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,0,40,5,0,30.000001907348633,15.000000953674316,0,0,5,10,0,0,15.000000953674316,5,4.761904716491699,0,0,136515.1121826172,51177.617614746094,1175.0617065429688,33048657920,8589930496,7255658496,0
200,1771854308411,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,9.523809432983398,35,9.523809432983398,21.052631378173828,9.523809432983398,14.285715103149414,5,5.263157844543457,35,25,31.81818199157715,18.18181800842285,10,5.555555820465088,5,0,0,136519.62280273438,51180.39196777344,1175.0634765625,33048657920,8589930496,7346765824,0
199,1771854308611,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,20,28.571430206298828,5,5,10.526315689086914,15.000000953674316,15.000000953674316,10,30.000001907348633,28.571430206298828,10,27.77777862548828,10,10,10,10,0,136523.93237304688,51183.02557373047,1175.0661010742188,33048657920,8589930496,7388524544,0
200,1771854308811,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,36.842105865478516,42.105262756347656,23.809524536132813,15.000000953674316,20,25,15.000000953674316,45,55,50,40,25,40,26.3157901763916,45,25,0,136530.43493652344,51187.711364746094,1175.0838012695313,33048657920,8589930496,7510130688,0
200,1771854309011,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,20,25,21.052631378173828,33.333335876464844,25,30.000001907348633,20,15.789472579956055,25,35,23.809524536132813,25,20,20,20,15.000000953674316,0,136535.98291015625,51191.43737792969,1175.1244506835938,33048657920,8589930496,7535128576,0
199,1771854309211,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,28.571430206298828,36.842105865478516,15.000000953674316,26.3157901763916,20,30.000001907348633,35,30.000001907348633,31.57894515991211,25,21.052631378173828,15.000000953674316,21.052631378173828,15.000000953674316,15.000000953674316,20,0,136540.79852294922,51194.490783691406,1175.1405029296875,33048657920,8589930496,7554658304,0
200,1771854309411,1076,1130,4400,4299,4262,4324,1100,1099,1667,1771,1600,1633,4395,4307,4393,4386,15.789472579956055,15.000000953674316,15.000000953674316,15.000000953674316,15.000000953674316,19.047618865966797,15.000000953674316,15.000000953674316,20,15.789472579956055,20,15.000000953674316,15.000000953674316,20,14.285715103149414,10.526315689086914,0,136544.56048583984,51196.5302734375,1175.1585083007813,33048657920,8589930496,7555428352,0
