Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771933262283,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,7.142857551574707,16.666667938232422,23.33333396911621,10.344827651977539,16.666667938232422,18.75,20,12.90322494506836,10.344827651977539,6.6666669845581055,20,22.580644607543945,44.82758712768555,6.896551609039307,10.344827651977539,12.90322494506836,0,10410.078369140625,3579.0264282226563,597.2503662109375,50118209536,26406285312,4801761280,0
200,1771933262283,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,7.142857551574707,16.666667938232422,23.33333396911621,10.344827651977539,16.666667938232422,18.75,20,12.90322494506836,10.344827651977539,6.6666669845581055,20,22.580644607543945,44.82758712768555,6.896551609039307,10.344827651977539,12.90322494506836,0,10410.091552734375,3579.0348510742188,597.2503662109375,50118209536,26406285312,4801761280,0
199,1771933262484,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,9.090909004211426,0,10,9.523809432983398,10,9.523809432983398,10,15.000000953674316,9.523809432983398,13.636363983154297,50,0,20,0,5.263157844543457,0,0,10412.893981933594,3580.43359375,597.4010620117188,50118209536,26406285312,4849045504,0
200,1771933262684,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,9.090909004211426,0,10,9.523809432983398,10,9.523809432983398,10,15.000000953674316,9.523809432983398,13.636363983154297,50,0,20,0,5.263157844543457,0,0,10415.027587890625,3581.238037109375,597.513427734375,50118209536,26406285312,4855508992,0
200,1771933262884,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,14.634145736694336,7.894736289978027,77.5,5.128205299377441,9.756096839904785,2.6315789222717285,7.500000476837158,5.128205299377441,7.692307949066162,16.216215133666992,24.390243530273438,15.384615898132324,12.5,28.571430206298828,12.820513725280762,0,0,10419.526733398438,3584.3831176757813,597.61083984375,50118209536,26406285312,4945444864,0
200,1771933263084,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,9.523809432983398,22.72727394104004,100,0,0,5,4.761904716491699,0,0,10,5,14.285715103149414,21.052631378173828,71.42857360839844,4.761904716491699,0,0,10423.249877929688,3586.8318481445313,597.6346435546875,50118209536,26406285312,4946767872,0
200,1771933263284,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,0,5,100,0,0,0,0,0,0,5,0,0,4.761904716491699,15.000000953674316,0,0,0,10425.61181640625,3588.1209106445313,597.640625,50118209536,26406285312,4952162304,0
200,1771933263484,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,0,0,95,0,0,0,0,0,0,0,5,0,5,0,0,0,0,10427.64599609375,3589.1421508789063,597.6472778320313,50118209536,26406285312,4951363584,0
200,1771933263684,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,5.555555820465088,0,7.692307949066162,0,0,10429.906616210938,3590.553466796875,597.6536865234375,50118209536,26406285312,4951363584,0
200,1771933263884,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,0,0,0,0,11.111111640930176,30.000001907348633,5.263157844543457,5,0,0,0,0,0,0,0,0,0,10432.175415039063,3591.80517578125,597.6576538085938,50118209536,26406285312,4685283328,0
199,1771933264085,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,0,0,0,0,5,0,0,0,5.263157844543457,0,4.761904716491699,4.761904716491699,17.647058486938477,0,0,0,0,10433.66845703125,3592.2892456054688,597.6634521484375,50118209536,26406285312,4687982592,0
200,1771933264285,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,0,0,0,0,5,0,0,0,5.263157844543457,0,4.761904716491699,4.761904716491699,17.647058486938477,0,0,0,0,10436.981750488281,3594.33740234375,597.7464599609375,50118209536,26406285312,4800126976,0
199,1771933264485,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,5.405405521392822,13.1578950881958,17.5,2.5,19.047618865966797,10.526315689086914,12.820513725280762,12.195121765136719,14.634145736694336,15.384615898132324,23.68421173095703,25.641027450561523,21.052631378173828,58.974361419677734,20.512821197509766,10,0,10441.815063476563,3597.6149291992188,597.8707275390625,50118209536,26406285312,5029736448,0
200,1771933264685,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,5.405405521392822,13.1578950881958,17.5,2.5,19.047618865966797,10.526315689086914,12.820513725280762,12.195121765136719,14.634145736694336,15.384615898132324,23.68421173095703,25.641027450561523,21.052631378173828,58.974361419677734,20.512821197509766,10,0,10446.042602539063,3600.0833740234375,598.1806030273438,50118209536,26406285312,5295869952,0
199,1771933264885,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,19.51219367980957,12.5,20.512821197509766,23.076923370361328,17.948719024658203,17.073171615600586,17.073171615600586,19.51219367980957,22.5,12.5,20.512821197509766,9.756096839904785,21.95121955871582,42.5,19.51219367980957,12.195121765136719,0,10448.525329589844,3600.9845581054688,598.457763671875,50118209536,26406285312,5285072896,0
199,1771933265085,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,19.51219367980957,12.5,20.512821197509766,23.076923370361328,17.948719024658203,17.073171615600586,17.073171615600586,19.51219367980957,22.5,12.5,20.512821197509766,9.756096839904785,21.95121955871582,42.5,19.51219367980957,12.195121765136719,0,10450.591796875,3601.550537109375,598.6834716796875,50118209536,26406285312,5305303040,0
200,1771933265285,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,20.512821197509766,7.692307949066162,13.51351261138916,9.756096839904785,21.052631378173828,24.390243530273438,18.421052932739258,13.1578950881958,15.000000953674316,12.820513725280762,15.384615898132324,24.324325561523438,30.76923179626465,10.256410598754883,27.5,0,0,10452.881530761719,3602.3253784179688,598.8865356445313,50118209536,26406285312,5310844928,0
199,1771933265485,400,400,1346,400,640,1715,400,400,3800,400,935,400,1431,400,1882,400,15.000000953674316,0,26.3157901763916,0,15.000000953674316,19.047618865966797,5,14.285715103149414,5.263157844543457,5,10.526315689086914,16.666667938232422,19.047618865966797,20,15.000000953674316,0,0,10454.966552734375,3602.9248657226563,599.08642578125,50118209536,26406285312,5287239680,0
