Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772018390976,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,15.384615898132324,10.256410598754883,12.820513725280762,20.512821197509766,10,12.820513725280762,15.000000953674316,17.948719024658203,7.894736289978027,7.894736289978027,13.1578950881958,12.820513725280762,17.948719024658203,15.000000953674316,10.256410598754883,10,0,237067.568359375,100093.75567626953,5560.235290527344,33048657920,8589930496,7411441664,0
200,1772018390976,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,15.384615898132324,10.256410598754883,12.820513725280762,20.512821197509766,10,12.820513725280762,15.000000953674316,17.948719024658203,7.894736289978027,7.894736289978027,13.1578950881958,12.820513725280762,17.948719024658203,15.000000953674316,10.256410598754883,10,0,237067.57806396484,100093.75695800781,5560.235290527344,33048657920,8589930496,7411441664,0
199,1772018391177,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,9.523809432983398,19.047618865966797,0,0,5,0,10,14.285715103149414,5,4.761904716491699,5,10,5.555555820465088,0,5,0,237068.98748779297,100093.91296386719,5560.2613525390625,33048657920,8589930496,7429419008,0
199,1772018391377,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,0,5,4.761904716491699,0,0,4.761904716491699,10,0,5.263157844543457,10.526315689086914,5,5.263157844543457,15.000000953674316,5,9.523809432983398,0,237070.3423461914,100094.04772949219,5560.294860839844,33048657920,8589930496,7445078016,0
199,1772018391577,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,9.523809432983398,0,0,4.761904716491699,5,0,10.526315689086914,5,5,5,5,15.000000953674316,13.636363983154297,10.526315689086914,0,0,237071.72625732422,100094.19213867188,5560.332580566406,33048657920,8589930496,7458164736,0
199,1772018391777,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5.263157844543457,5.263157844543457,5.263157844543457,0,5.263157844543457,10,0,5.263157844543457,0,18.18181800842285,5,0,15.000000953674316,5.263157844543457,19.047618865966797,10,0,237073.12145996094,100094.36224365234,5560.362365722656,33048657920,8589930496,7471726592,0
200,1772018391977,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,9.523809432983398,15.000000953674316,5,5,0,4.761904716491699,5,5.263157844543457,0,0,5,9.523809432983398,5.263157844543457,14.285715103149414,10,15.000000953674316,0,237074.51123046875,100094.52001953125,5560.3966064453125,33048657920,8589930496,7403438080,0
200,1772018392177,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,5,5,4.761904716491699,0,0,0,4.761904716491699,10,10,5,0,5,15.789472579956055,5,0,0,237075.8812866211,100094.6685180664,5560.4296875,33048657920,8589930496,7416520704,0
200,1772018392377,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,0,5.263157844543457,5,5,5,0,10.526315689086914,4.761904716491699,0,9.523809432983398,10,10,9.523809432983398,5,4.761904716491699,0,237077.24291992188,100094.81335449219,5560.456848144531,33048657920,8589930496,7429586944,0
199,1772018392578,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,9.523809432983398,4.761904716491699,0,0,0,5,15.000000953674316,0,9.523809432983398,0,10,5.263157844543457,0,5.263157844543457,0,0,237078.5850830078,100094.94140625,5560.4827880859375,33048657920,8589930496,7438086144,0
199,1772018392778,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,5,5.263157844543457,5,5,5.263157844543457,5,10,0,5.263157844543457,0,0,9.523809432983398,9.523809432983398,10,5,0,237079.91735839844,100095.0571899414,5560.507873535156,33048657920,8589930496,7442530304,0
199,1772018392978,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,5.263157844543457,5.263157844543457,5,10.526315689086914,5,0,0,0,15.000000953674316,10,9.523809432983398,5.263157844543457,5.263157844543457,5,5.555555820465088,0,237081.30407714844,100095.21118164063,5560.5457763671875,33048657920,8589930496,7407820800,0
199,1772018393178,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,5.263157844543457,5.263157844543457,5,10.526315689086914,5,0,0,0,15.000000953674316,10,9.523809432983398,5.263157844543457,5.263157844543457,5,5.555555820465088,0,237082.6697998047,100095.34552001953,5560.581481933594,33048657920,8589930496,7418089472,0
199,1772018393378,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,5,17.5,7.692307949066162,7.692307949066162,5,0,5,7.317072868347168,12.5,5.128205299377441,2.6315789222717285,7.500000476837158,10.256410598754883,5.128205299377441,12.195121765136719,0,237084.11407470703,100095.54608154297,5560.614929199219,33048657920,8589930496,7442341888,0
199,1772018393578,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,10,5.263157844543457,15.789472579956055,14.285715103149414,5.263157844543457,5.263157844543457,10,0,0,20,10,5.263157844543457,5,5,9.523809432983398,10,0,237085.57598876953,100095.74102783203,5560.654602050781,33048657920,8589930496,7452950528,0
200,1772018393778,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,15.000000953674316,15.000000953674316,16.666667938232422,21.052631378173828,10,11.111111640930176,19.047618865966797,19.047618865966797,19.047618865966797,10.526315689086914,15.000000953674316,18.18181800842285,5.263157844543457,25,15.789472579956055,20,0,237087.14807128906,100096.02331542969,5560.6832275390625,33048657920,8589930496,7478927360,0
199,1772018393979,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,15.000000953674316,5.263157844543457,30.000001907348633,10.526315689086914,28.571430206298828,14.285715103149414,0,5.555555820465088,5,10,9.523809432983398,0,5.263157844543457,10,10,10.526315689086914,0,237088.62713623047,100096.23327636719,5560.721618652344,33048657920,8589930496,7433605120,0
199,1772018394179,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,10,9.523809432983398,10.526315689086914,23.809524536132813,10,5.263157844543457,0,5,10.526315689086914,10.526315689086914,10.526315689086914,5,9.090909004211426,0,10,5,0,237090.06665039063,100096.4292602539,5560.76513671875,33048657920,8589930496,7450206208,0
199,1772018394379,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5.555555820465088,21.052631378173828,35,30.000001907348633,15.789472579956055,38.095237731933594,19.047618865966797,16.666667938232422,15.000000953674316,20,15.000000953674316,10.526315689086914,11.111111640930176,40,20,15.000000953674316,0,237091.7509765625,100096.8110961914,5560.799011230469,33048657920,8589930496,7475572736,0
199,1772018394579,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,4.761904716491699,5,15.000000953674316,5.263157844543457,10,5,0,15.000000953674316,10,5.263157844543457,5.263157844543457,5,0,5,5.263157844543457,9.523809432983398,0,237093.16607666016,100096.97863769531,5560.824157714844,33048657920,8589930496,7491338240,0
199,1772018394779,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,9.523809432983398,11.111111640930176,5.263157844543457,4.761904716491699,0,5,15.789472579956055,5.263157844543457,15.000000953674316,15.000000953674316,0,10,5,15.000000953674316,0,0,237094.58331298828,100097.15417480469,5560.8594970703125,33048657920,8589930496,7505510400,0
199,1772018394979,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,0,20,14.285715103149414,5.263157844543457,5,5.263157844543457,15.000000953674316,9.523809432983398,10,0,10.526315689086914,10,0,5,0,0,237096.0067138672,100097.33361816406,5560.893310546875,33048657920,8589930496,7451213824,0
199,1772018395179,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5.263157844543457,5.263157844543457,11.111111640930176,5,5,5,10,5.263157844543457,20,10.526315689086914,0,9.090909004211426,9.523809432983398,14.285715103149414,14.285715103149414,5,0,237097.48236083984,100097.51623535156,5560.9471435546875,33048657920,8589930496,7461748736,0
199,1772018395379,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,10,10.526315689086914,5.263157844543457,5.263157844543457,10,10,0,5,20,4.761904716491699,0,15.789472579956055,10,5.263157844543457,0,0,237098.96002197266,100097.70904541016,5561.000671386719,33048657920,8589930496,7475077120,0
199,1772018395579,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5.263157844543457,10.526315689086914,5.882352828979492,15.000000953674316,9.523809432983398,15.000000953674316,5.555555820465088,5,0,10,5,0,5,25,4.761904716491699,0,0,237100.4087524414,100097.87908935547,5561.0687255859375,33048657920,8589930496,7487963136,0
199,1772018395779,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,15.000000953674316,10.526315689086914,10,0,15.000000953674316,22.72727394104004,0,9.523809432983398,10.526315689086914,0,9.523809432983398,0,15.789472579956055,0,0,0,237101.85314941406,100098.05419921875,5561.1221923828125,33048657920,8589930496,7500865536,0
199,1772018395980,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,5.263157844543457,10.526315689086914,0,10,10,10.526315689086914,15.000000953674316,0,10,0,0,14.285715103149414,5,0,5,0,237103.29412841797,100098.21942138672,5561.17626953125,33048657920,8589930496,7453921280,0
199,1772018396180,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,15.000000953674316,21.052631378173828,15.000000953674316,10,9.523809432983398,5.263157844543457,5.263157844543457,5.263157844543457,10.526315689086914,5,5,15.789472579956055,5,0,9.523809432983398,0,237104.73138427734,100098.40057373047,5561.22119140625,33048657920,8589930496,7465267200,0
199,1772018396380,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,5,0,15.789472579956055,15.789472579956055,10.526315689086914,0,5.263157844543457,0,5,19.047618865966797,10.526315689086914,10,5,10,5,0,0,237106.16766357422,100098.58874511719,5561.26171875,33048657920,8589930496,7475470336,0
199,1772018396580,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,0,5,25,15.000000953674316,14.285715103149414,0,10,10,5.263157844543457,14.285715103149414,5,5,5,9.523809432983398,14.285715103149414,0,0,237107.6128540039,100098.76794433594,5561.2940673828125,33048657920,8589930496,7489556480,0
199,1772018396780,1800,1800,1100,1100,400,1100,1099,1100,1715,1431,1800,400,1289,1300,1284,1286,20,5,5.555555820465088,14.285715103149414,0,14.285715103149414,0,5.555555820465088,5,10.526315689086914,5,0,9.523809432983398,0,14.285715103149414,10.526315689086914,0,237109.47259521484,100098.9476928711,5561.320861816406,33048657920,8589930496,7494799360,0
