Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772019941155,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,13.88888931274414,13.51351261138916,10.526315689086914,8.108107566833496,13.51351261138916,10.526315689086914,10.526315689086914,12.820513725280762,13.1578950881958,13.1578950881958,8.108107566833496,5.405405521392822,13.51351261138916,25.641027450561523,10.526315689086914,10.810811042785645,0,248186.48754882813,101547.05590820313,5810.380310058594,33048657920,8589930496,5951430656,0
200,1772019941155,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,13.88888931274414,13.51351261138916,10.526315689086914,8.108107566833496,13.51351261138916,10.526315689086914,10.526315689086914,12.820513725280762,13.1578950881958,13.1578950881958,8.108107566833496,5.405405521392822,13.51351261138916,25.641027450561523,10.526315689086914,10.810811042785645,0,248186.48754882813,101547.05590820313,5810.380310058594,33048657920,8589930496,5951430656,0
199,1772019941355,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,0,10,0,0,14.285715103149414,0,0,0,5,5,4.761904716491699,5,0,0,10,4.761904716491699,0,248187.82543945313,101547.17681884766,5810.406494140625,33048657920,8589930496,5963153408,0
199,1772019941555,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,4.761904716491699,5,5,14.285715103149414,10,5,10,5.263157844543457,5,5,5.263157844543457,5,10,9.523809432983398,5,5.263157844543457,0,248189.19567871094,101547.3265991211,5810.442199707031,33048657920,8589930496,5976240128,0
200,1772019941756,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,5,0,10,0,5.263157844543457,0,5,5,5,5.263157844543457,4.761904716491699,0,5.263157844543457,0,20,5,0,248190.5733642578,101547.4721069336,5810.4697265625,33048657920,8589930496,5987794944,0
199,1772019941956,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,10.526315689086914,5,10.526315689086914,15.000000953674316,15.000000953674316,15.000000953674316,25,21.052631378173828,10,10,10,9.523809432983398,9.523809432983398,10,50,5.263157844543457,0,248192.14086914063,101547.71496582031,5810.5391845703125,33048657920,8589930496,5979021312,0
199,1772019942156,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,5.263157844543457,5,4.761904716491699,0,0,5,5,5,10,0,10,5,0,5,10,5,0,248193.48797607422,101547.84912109375,5810.577575683594,33048657920,8589930496,5991862272,0
199,1772019942356,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,10,5.263157844543457,5.263157844543457,5,0,0,0,0,5,5,5.263157844543457,0,14.285715103149414,10,5,5,0,248194.84368896484,101547.99005126953,5810.608215332031,33048657920,8589930496,5999616000,0
199,1772019942556,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,4.761904716491699,10,9.523809432983398,0,0,4.761904716491699,0,5,5.263157844543457,5,9.523809432983398,10,5.555555820465088,5.263157844543457,25,5,0,248196.71606445313,101548.14575195313,5810.6669921875,33048657920,8589930496,6010908672,0
199,1772019942756,1625,1416,1358,1275,1279,1285,1100,1099,1801,1801,1800,1800,1290,1100,1252,1100,0,0,0,5,0,0,10,5.263157844543457,9.523809432983398,5.263157844543457,5,9.523809432983398,14.285715103149414,10,15.000000953674316,5.263157844543457,0,248198.1424560547,101548.29187011719,5810.737365722656,33048657920,8589930496,6015922176,0
