Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771847687920,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,16.129032135009766,6.45161247253418,3.22580623626709,6.45161247253418,3.125,9.375,6.25,6.45161247253418,6.25,6.45161247253418,9.67741870880127,6.25,3.22580623626709,6.45161247253418,6.25,6.25,0,70271.9603881836,30394.242919921875,703.643310546875,33048657920,8589930496,8027078656,0
199,1771847687920,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,16.129032135009766,6.45161247253418,3.22580623626709,6.45161247253418,3.125,9.375,6.25,6.45161247253418,6.25,6.45161247253418,9.67741870880127,6.25,3.22580623626709,6.45161247253418,6.25,6.25,0,70271.97827148438,30394.254455566406,703.643310546875,33048657920,8589930496,8027078656,0
200,1771847688120,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,9.523809432983398,9.523809432983398,0,20,0,4.761904716491699,5.263157844543457,10,66.66667175292969,5,10,0,4.761904716491699,0,5,20,0,70275.9349975586,30396.576049804688,703.643310546875,33048657920,8589930496,8107073536,0
199,1771847688320,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,10.526315689086914,5.263157844543457,30.000001907348633,20,5,10,0,10,10.526315689086914,38.095237731933594,15.000000953674316,0,5,14.285715103149414,10,4.761904716491699,0,70280.0650024414,30399.005615234375,703.6450805664063,33048657920,8589930496,8191864832,0
199,1771847688520,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,35,33.333335876464844,15.000000953674316,10,15.000000953674316,21.052631378173828,14.285715103149414,14.285715103149414,42.105262756347656,33.333335876464844,15.789472579956055,10,10,15.000000953674316,21.052631378173828,10,0,70285.48211669922,30402.59832763672,703.67626953125,33048657920,8589930496,8298848256,0
199,1771847688720,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,10.526315689086914,26.3157901763916,20,15.000000953674316,20,27.77777862548828,10,5.263157844543457,28.571430206298828,28.571430206298828,19.047618865966797,21.052631378173828,20,15.000000953674316,33.333335876464844,11.111111640930176,0,70290.78588867188,30406.151306152344,703.720458984375,33048657920,8589930496,8331165696,0
199,1771847688920,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,45,30.000001907348633,30.000001907348633,35,26.3157901763916,21.052631378173828,30.000001907348633,25,52.6315803527832,40,47.36842346191406,40,25,30.000001907348633,30.000001907348633,28.571430206298828,0,70297.58111572266,30410.989501953125,703.8093872070313,33048657920,8589930496,8382627840,0
199,1771847689120,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,30.000001907348633,30.000001907348633,31.57894515991211,35,31.57894515991211,30.000001907348633,40,36.842105865478516,35,50,35,42.105262756347656,50,30.000001907348633,36.842105865478516,31.57894515991211,0,70304.57604980469,30416.01092529297,703.8995361328125,33048657920,8589930496,8418066432,0
200,1771847689320,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,26.3157901763916,25,20,23.809524536132813,20,25,25,21.052631378173828,28.571430206298828,20,25,23.809524536132813,20,20,19.047618865966797,23.809524536132813,0,70309.32098388672,30418.873596191406,704.0037231445313,33048657920,8589930496,8419438592,0
200,1771847689521,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,9.523809432983398,5,5,0,4.761904716491699,0,0,0,5,5,4.761904716491699,0,4.761904716491699,0,0,9.523809432983398,0,70312.21911621094,30420.071716308594,704.0836181640625,33048657920,8589930496,8419692544,0
200,1771847689721,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,9.523809432983398,10,5.263157844543457,0,5,5,0,0,5.263157844543457,10,5,0,0,5,0,5.263157844543457,0,70315.12707519531,30421.287536621094,704.1627807617188,33048657920,8589930496,8422748160,0
200,1771847689921,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,5.263157844543457,0,0,0,0,0,0,5,5,0,0,0,4.761904716491699,0,0,0,0,70317.93811035156,30422.15496826172,704.166259765625,33048657920,8589930496,8422748160,0
199,1771847690121,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,0,10,5.263157844543457,4.761904716491699,4.761904716491699,0,0,5,19.047618865966797,5,5,9.523809432983398,5,10,5,5,0,70320.69519042969,30423.34942626953,704.1837768554688,33048657920,8589930496,8424493056,0
200,1771847690321,1802,1606,4402,4400,400,4401,1100,1101,1658,1800,1501,1684,4402,4400,400,4401,0,5,9.523809432983398,0,0,5,9.523809432983398,0,5.263157844543457,5,0,0,0,4.761904716491699,0,9.523809432983398,0,70323.55090332031,30424.522033691406,704.2391967773438,33048657920,8589930496,8425054208,0
